                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.60975,                0.64641,                 1.1222,                0.85688,                0.78734,                0.85177,                0.68652,                0.74148,                0.71545,                 1.1795,             0.00026398,             0.00026398,             0.00026398
                     72,                0.62608,                0.67009,                  1.133,                0.82187,                0.79635,                0.85488,                0.68357,                0.74543,                0.73185,                  1.185,             0.00025573,             0.00025573,             0.00025573
                     73,                0.62409,                0.66717,                 1.1262,                0.84874,                0.81665,                 0.8732,                0.70544,                0.72457,                 0.6984,                 1.1683,             0.00024748,             0.00024748,             0.00024748
                     74,                0.61938,                0.65887,                 1.1289,                 0.8945,                0.80285,                0.87172,                0.70277,                0.73909,                0.70121,                 1.1627,             0.00023924,             0.00023924,             0.00023924
                     75,                0.60415,                0.64183,                 1.1152,                0.87342,                0.78489,                0.86235,                0.69769,                  0.736,                0.70313,                 1.1807,             0.00023099,             0.00023099,             0.00023099
                     76,                0.60766,                0.63472,                  1.105,                0.88518,                0.80488,                 0.8622,                0.68975,                0.73752,                0.70278,                 1.1769,             0.00022274,             0.00022274,             0.00022274
                     77,                0.61321,                0.62434,                 1.1158,                0.86906,                0.83133,                0.85908,                0.68004,                0.77401,                0.71479,                 1.2312,              0.0002145,              0.0002145,              0.0002145
                     78,                0.57604,                0.62663,                 1.1003,                0.83699,                0.82947,                0.86749,                0.70321,                0.72027,                0.68423,                 1.1594,             0.00020625,             0.00020625,             0.00020625
                     79,                0.57705,                0.60237,                 1.1044,                0.85684,                0.80959,                0.86415,                0.68658,                0.73056,                0.71134,                 1.1864,               0.000198,               0.000198,               0.000198
                     80,                0.58008,                0.61578,                 1.1002,                 0.8851,                0.79256,                0.86757,                0.69396,                0.72813,                0.70694,                 1.1765,             0.00018976,             0.00018976,             0.00018976
                     81,                0.59313,                0.58965,                 1.0961,                0.88137,                0.83422,                0.87999,                0.71105,                0.71897,                 0.6579,                 1.1643,             0.00018151,             0.00018151,             0.00018151
                     82,                0.60012,                0.63695,                 1.1114,                0.88347,                0.79883,                0.86965,                0.69737,                0.75515,                0.68839,                 1.2043,             0.00017326,             0.00017326,             0.00017326
                     83,                0.58182,                0.59742,                 1.1034,                0.85575,                0.79722,                0.87221,                0.69691,                0.72599,                0.70864,                 1.1708,             0.00016502,             0.00016502,             0.00016502
                     84,                0.57292,                0.57732,                 1.0932,                0.86894,                0.81785,                0.88415,                0.71022,                0.73921,                0.69451,                 1.1877,             0.00015677,             0.00015677,             0.00015677
                     85,                0.56945,                0.58639,                 1.0969,                0.92332,                0.78909,                 0.8754,                 0.7071,                0.71613,                0.68911,                 1.1658,             0.00014852,             0.00014852,             0.00014852
                     86,                0.55625,                0.58017,                 1.0924,                 0.8942,                0.80108,                0.87892,                0.71586,                0.72044,                0.68737,                 1.1688,             0.00014028,             0.00014028,             0.00014028
                     87,                0.54547,                0.55792,                 1.0756,                0.85453,                 0.8399,                0.87823,                0.70846,                0.72202,                0.67089,                  1.167,             0.00013203,             0.00013203,             0.00013203
                     88,                0.56059,                0.57103,                 1.0935,                0.91071,                0.81871,                0.88403,                0.71018,                0.73888,                0.66163,                 1.1854,             0.00012378,             0.00012378,             0.00012378
                     89,                0.56428,                0.57315,                 1.0858,                0.89449,                0.82506,                 0.8659,                0.70052,                0.72748,                0.68077,                 1.1722,             0.00011554,             0.00011554,             0.00011554
                     90,                0.53875,                0.54913,                 1.0771,                0.90177,                 0.8136,                 0.8733,                0.70672,                0.74651,                0.67305,                 1.1949,             0.00010729,             0.00010729,             0.00010729
                     91,                0.40927,                0.36428,                0.96415,                0.86261,                0.82054,                0.86456,                0.69795,                0.74498,                0.71007,                 1.2005,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.39593,                0.31822,                0.94214,                0.88248,                0.81288,                0.87004,                0.70966,                0.72985,                 0.6935,                  1.185,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.38387,                0.29989,                0.94703,                0.87857,                0.81149,                0.86467,                0.70105,                0.71561,                0.69197,                  1.167,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.37234,                0.33063,                 0.9266,                0.90862,                0.81108,                0.87455,                0.71186,                0.71702,                0.67579,                  1.165,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.35971,                0.28916,                0.92065,                0.91675,                0.80361,                 0.8748,                 0.7214,                0.71753,                0.66765,                 1.1693,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.37336,                0.29524,                0.94015,                0.88502,                 0.8213,                0.88007,                0.72074,                0.70198,                0.64562,                 1.1523,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.35978,                0.27731,                0.93653,                0.88413,                0.81682,                 0.8861,                0.72714,                0.70891,                0.65731,                 1.1699,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.37595,                0.32139,                0.94244,                 0.9185,                0.78908,                0.88175,                0.72138,                0.71414,                0.66347,                 1.1742,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                0.34107,                0.26763,                0.91691,                0.90397,                0.80896,                 0.8879,                0.72805,                0.71157,                0.65032,                 1.1685,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.34962,                0.28561,                0.91834,                0.90619,                0.81751,                0.89067,                0.72307,                 0.7206,                0.64675,                 1.1824,             2.4823e-05,             2.4823e-05,             2.4823e-05
